211000022278449	1186	1244	-
211000022278760	813	868	-
211000022279188	1488	1546	+
211000022279188	2046	2107	+
211000022280328	7522	7581	-
211000022280328	8550	9153	-
211000022280328	9379	9434	-
2L	8115	8192	+
2L	8115	8228	+
2L	8588	8667	+
2L	11343	11409	-
2L	11343	11778	-
2L	11517	11778	-
2L	12220	12285	-
2L	12927	13519	-
2L	13624	13682	-
2L	14873	14932	-
2L	15710	17052	-
2L	15710	19879	-
2L	15710	19884	-
2L	17211	18025	-
2L	17211	18260	-
2L	17211	19879	-
2L	17211	21135	-
2L	18167	18260	-
2L	20014	20830	-
2L	20014	21065	-
2L	20014	21135	-
2L	20019	21065	-
2L	20019	21135	-
2L	20972	21065	-
2L	21199	21348	-
2L	22686	22742	-
2L	22934	22993	-
2L	22940	22997	+
2L	23872	23928	-
2L	24209	24746	-
2L	26687	26765	-
2L	26963	27052	-
2L	27489	28014	-
2L	27489	28410	-
2L	28239	28732	-
2L	28638	28732	-
2L	28925	28981	-
2L	29067	30393	-
2L	29067	33844	-
2L	29067	34557	-
2L	29067	35745	-
2L	33269	33844	-
2L	33269	34557	-
2L	34287	34557	-
2L	34603	34719	-
2L	34911	35745	-
2L	35211	35745	-
2L	35211	38534	-
2L	38297	38534	-
2L	38730	39300	-
2L	39856	58080	-
2L	58175	59189	-
2L	58181	58248	-
2L	58181	58958	-
2L	58181	59189	-
2L	58181	65345	-
2L	58192	59189	-
2L	58349	59189	-
2L	58730	59189	-
2L	66611	66675	+
2L	67002	67388	+
2L	67110	67388	+
2L	67136	67388	+
2L	67506	67568	+
2L	67761	67891	+
2L	68022	68084	+
2L	70548	70606	+
2L	71803	71949	+
2L	72080	74902	+
2L	72976	74902	+
2L	73641	73754	-
2L	73691	73819	+
2L	73691	74902	+
2L	73896	74902	+
2L	74571	74902	+
2L	75017	75077	+
2L	77582	77641	+
2L	84276	87019	-
2L	94891	94988	+
2L	95069	95131	+
2L	95300	95353	+
2L	97832	97883	+
2L	98469	98526	+
2L	99722	99784	+
2L	100515	100571	+
2L	100702	100761	+
2L	100941	101015	+
2L	101193	101248	+
2L	101618	101875	+
2L	102905	103005	+
2L	103433	103515	+
2L	103433	103877	+
2L	104946	105004	-
2L	105335	105390	-
2L	105454	105511	-
2L	105914	105968	-
2L	106999	107764	+
2L	107837	108587	+
2L	107955	108587	+
2L	108100	108587	+
2L	108225	108587	+
2L	108345	108587	+
2L	108808	110405	+
2L	109792	110405	+
2L	110482	110754	+
2L	110876	111004	+
2L	110876	111906	+
2L	110876	112689	+
2L	111116	111906	+
2L	111116	112689	+
2L	112018	112689	+
2L	113368	113433	+
2L	114990	155545	+
2L	114990	155566	+
2L	114990	155637	+
2L	117758	117819	-
2L	118075	118135	-
2L	118303	118360	-
2L	118873	118930	-
2L	119075	119133	-
2L	119234	119287	-
2L	119234	119430	-
2L	119374	119430	-
2L	119553	119827	-
2L	120079	120167	-
2L	120079	120420	-
2L	120079	121632	-
2L	120264	120510	-
2L	120363	120420	-
2L	122993	123080	-
2L	123071	123139	+
2L	123257	123324	+
2L	123628	123693	-
2L	123793	123855	-
2L	124023	124086	-
2L	124919	125076	-
2L	125265	126109	-
2L	126226	128799	-
2L	128941	130507	-
2L	132254	132475	+
2L	136215	136272	+
2L	138589	138668	-
2L	139197	139255	-
2L	139384	139441	-
2L	139686	139740	-
2L	139953	140113	-
2L	141339	141395	-
2L	141608	141661	-
2L	141608	141670	-
2L	142661	142723	-
2L	145909	147348	-
2L	145909	147354	-
2L	147453	147510	-
2L	147709	147764	-
2L	147935	147994	-
2L	148036	148091	-
2L	148172	148337	-
2L	148824	148878	-
2L	149225	151114	-
2L	155058	155127	-
2L	155177	155249	+
2L	155409	155465	+
2L	155428	155545	+
2L	155428	155566	+
2L	155428	155637	+
2L	155783	155857	+
2L	156347	156422	+
2L	156551	156735	+
2L	158374	158435	-
2L	159818	160008	+
2L	159818	162591	+
2L	159822	162591	+
2L	163000	164158	+
2L	163000	175360	+
2L	163000	183760	+
2L	164233	175360	+
2L	175446	183760	+
2L	182912	183760	+
2L	183418	183760	+
2L	185081	185151	+
2L	186122	186192	+
2L	186854	186909	+
2L	187015	187481	+
2L	199574	199636	+
2L	199742	199902	+
2L	199742	200119	+
2L	199982	200119	+
2L	200314	200375	+
2L	200674	200741	+
2L	201060	201126	+
2L	203890	203992	+
2L	205211	205271	-
2L	205942	206000	-
2L	206049	206699	-
2L	206049	207230	-
2L	207630	207710	+
2L	208607	208728	+
2L	214941	215033	-
2L	215675	215772	-
2L	216006	216076	-
2L	216274	216344	-
2L	216572	216631	-
2L	218884	221505	-
2L	218884	226115	-
2L	218884	227371	-
2L	226507	227371	-
2L	227546	228132	-
2L	228280	229172	-
2L	228280	230537	-
2L	229381	229929	-
2L	229381	230537	-
2L	229976	230537	-
2L	230626	230757	-
2L	231033	231947	-
2L	231033	231962	-
2L	232100	232291	-
2L	232378	233996	-
2L	233153	233216	+
2L	234173	234236	-
2L	242142	242243	-
2L	242743	250756	-
2L	242924	250756	-
2L	251463	251526	-
2L	251800	251855	-
2L	251923	251978	-
2L	252165	252226	-
2L	253144	253219	-
2L	253384	253445	-
2L	253889	253955	-
2L	254396	254561	-
